participant,session,experiment,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,region_count
0,1,1,0,Noise,2,0.33884245796749984,0.007677373276461081,0.18860409379969023,0.007876898956038549,0.948368867197534,0.032499245749959105,0.08743325771328352,14,51
0,1,1,0,Noise,all,0.35345313900802255,0.004301621469710974,0.18882727030744345,0.00449640571161909,0.9028341811980621,0.0157249922796803,,0,51
0,1,1,1,Up,0,0.32930171877263126,0.004947424395912738,0.19141878505797957,0.005586094740193739,0.86701860231272,0.0350200207184129,0.12418943670709123,17,18
0,1,1,1,Up,1,0.4008777939913439,0.0033020143250822565,0.19369384047033295,0.004720799139969741,0.9311546840958607,0.013928128299909926,0.14061310098286076,17,18
0,1,1,1,Up,2,0.3405640727494334,0.005736153379971439,0.187977584958157,0.003274170417895622,0.962882096069869,0.021353562079596995,0.12756754419714392,17,18
0,1,1,1,Up,all,0.3569145285044695,0.002051179420104918,0.1910300701621565,0.0034095096772874555,0.9203517941594832,0.010690266326730534,,0,18
0,1,1,2,Down,0,0.32021961849358244,0.006027526766053004,0.18850626787843466,0.0035275270770556613,0.8871439978706415,0.038143165542023655,0.13582569497980387,16,17
0,1,1,2,Down,1,0.39219270439406523,0.0047504924096305025,0.18951295574471902,0.004091104588486257,0.9220299884659746,0.0303409547487501,0.1571766889853592,16,17
0,1,1,2,Down,2,0.3396196918598718,0.008350278060254701,0.185572248483659,0.0036031241528230694,0.9663498587207809,0.025404786584232567,0.11803530921049266,16,17
0,1,1,2,Down,all,0.3506773382491732,0.004624332918396875,0.18786382403560423,0.0017040370495137278,0.9251746150191323,0.016109574219293682,,0,17
0,1,1,3,Left,0,0.3252473664793256,0.004469905762510195,0.19303046310685504,0.0026920343648133413,0.9449869016432484,0.04767891999714315,0.12811868397233456,18,19
0,1,1,3,Left,1,0.39507862891380846,0.006103277070071904,0.19179895100149014,0.003022188944851165,0.9116615067079463,0.040761859518753524,0.13929584869655154,18,19
0,1,1,3,Left,2,0.3358585607459755,0.005546006704891788,0.18747834361985713,0.0030368505634975635,0.9292116754769019,0.03704159028250675,0.11864925274113418,18,19
0,1,1,3,Left,all,0.3520615187130365,0.0033410500870982,0.19076925257606744,0.0017090147308537792,0.9286200279426989,0.013129098066756766,,0,19
