participant,session,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,experiment_count,region_count
1,0,2,Down,2,0.3401332193168567,0.018424850757780054,0.20659741774575602,0.0074498505580939236,0.914572192513369,0.04628791157409377,0.12110087203331665,88,5,88
1,0,2,Down,all,0.3517234075264569,0.007712326808927503,0.20477808686302215,0.0036184965743968588,0.925005586248912,0.02607534527967903,,0,5,88
1,0,3,Left,0,0.35107045256414887,0.01010657232870009,0.23635378231321066,0.00801491502665978,0.937157597152002,0.03204838764789393,0.11058506168364067,102,5,103
1,0,3,Left,1,0.37302887557322145,0.0077047633790131315,0.17826307150120613,0.005820936828190479,0.9192806721173513,0.04179907808262696,0.10349833546158126,102,5,103
1,0,3,Left,2,0.33731444707946995,0.01667971751514036,0.20640727009453513,0.0077773108037533945,0.9272035027603274,0.0499637486179153,0.1294456192265841,102,5,103
1,0,3,Left,all,0.3538045917389468,0.006995007946190635,0.20700804130298397,0.0046748776449668525,0.9278805906765603,0.019960808065820568,,0,5,103
1,0,4,Right,0,0.3502359136886603,0.01014810263556033,0.23401087426493253,0.009645713068075336,0.9333740720511954,0.026699441688097646,0.12168402471189112,88,5,89
1,0,4,Right,1,0.3752335686018424,0.007758130011223512,0.18037561416329806,0.005936510223586039,0.9068691294813724,0.03879737261049525,0.10634665080715172,88,5,89
1,0,4,Right,2,0.3299216045180534,0.020331326843795,0.20442215814902798,0.007678073862178405,0.8988323419255343,0.04626551989505426,0.1387911854934559,88,5,89
1,0,4,Right,all,0.35179702893618536,0.007821213330810777,0.20626954885908622,0.004943469463829907,0.9130251811527007,0.021742602894857025,,0,5,89
1,1,0,Noise,0,0.3356090488639012,0.009723523867136716,0.2369491781967669,0.008346861455335667,0.9138382844899572,0.03180703316490427,0.12398551497315656,138,5,289
1,1,0,Noise,1,0.3654627761781892,0.01601994674458079,0.17889734854698353,0.011062673468746455,0.8553810926352284,0.04854516126685957,0.09966321888007308,138,5,289
1,1,0,Noise,2,0.32923563340354584,0.01880198509511734,0.19734780510699662,0.008275561899213623,0.8730307347852636,0.04936473779350306,0.10788399811191758,138,5,289
1,1,0,Noise,all,0.34343581948187873,0.011098141550103892,0.20439811061691568,0.005575537948818452,0.880750037303483,0.02602729198645106,,0,5,289
1,1,1,Up,0,0.3368881341211578,0.008566489955650758,0.23687233551226816,0.005410839583005566,0.9444093310261603,0.02812521151791802,0.11687266761772865,90,5,91
1,1,1,Up,1,0.36427711133318563,0.012960838048308134,0.178331104418403,0.0081017787681306,0.9084672557913513,0.03737488938192649,0.09034070136732088,90,5,91
1,1,1,Up,2,0.32871742027497,0.014995334447436368,0.1997942266881079,0.008238374522324413,0.9479422538246068,0.03291972501071295,0.11561449054791301,90,5,91
1,1,1,Up,all,0.34329422190977116,0.009338570468565548,0.20499922220625968,0.004293709542528526,0.9336062802140395,0.018211352536652577,,0,5,91
1,1,2,Down,0,0.33580669224319454,0.010389493308515841,0.2365557783368278,0.004570553299746458,0.9546151451564605,0.028166191300609284,0.12783426365566256,91,5,94
1,1,2,Down,1,0.3627383157410291,0.012854883408090982,0.17658219516623389,0.008520476658863218,0.8889482879397073,0.0512690173326022,0.10007434595328818,91,5,94
1,1,2,Down,2,0.3330405545991134,0.01927406084225129,0.19850134423293697,0.005316720469412738,0.9058823529411765,0.0474507538725006,0.13088248925627238,91,5,94
1,1,2,Down,all,0.34386185419444565,0.011775997372756988,0.2038797725786662,0.002968607469771176,0.9164819286791148,0.03158835472482017,,0,5,94
1,1,3,Left,0,0.33670961552591705,0.009134805623474322,0.23503611222489706,0.006043505669796136,0.9297418659475436,0.033577205774184216,0.11247555729217595,93,5,95
1,1,3,Left,1,0.36388360042479967,0.014201390282837616,0.17764189131189095,0.010244193229222945,0.9167654542500616,0.05077180734681295,0.1137654585156364,93,5,95
1,1,3,Left,2,0.33123009243380647,0.01756323571646228,0.19591469124084623,0.006254225279932204,0.8959752321981423,0.036639816713876276,0.12022081809759518,93,5,95
1,1,3,Left,all,0.343941102794841,0.010422307703851025,0.20286423159254477,0.004273550248583357,0.9141608507985826,0.024010470747220524,,0,5,95
1,1,4,Right,0,0.3375336714952748,0.008511439723016143,0.23439468648295314,0.007095245005694339,0.9257831117609964,0.0288759943057529,0.12112422100796291,90,5,91
